Lab_variables
Target_var(t-1)_transporter_wise
Target_var(t-1)
Target_var(t-2)_transporter_wise
Target_var(t-2)
Target_var(t-3)_transporter_wise
Target_var(t-4)_transporter_wise
Target_var(t-3)
Customer
Target_var(t-5)_transporter_wise
Gross Weight
Base Freight
Target_var(t-4)
Target_var(t-6)_transporter_wise
Source
Actual Freight
Source Lat
Target_var(t-7)_transporter_wise
Count_by_route
Target_var(t-5)
creation_age
Target_var(t-8)_transporter_wise
creationhour_var(t-1)_transporter_wise
Destination
Target_var(t-6)
Target_var(t-9)_transporter_wise
Destination_var(t-2)_transporter_wise
Destination_var(t-9)_transporter_wise
Destination_var(t-3)_transporter_wise
Destination_var(t-1)_transporter_wise
Destination_var(t-4)_transporter_wise
Destination_var(t-10)_transporter_wise
Destination_var(t-6)_transporter_wise
Destination_var(t-8)_transporter_wise
Destination_var(t-5)_transporter_wise
Destination_var(t-7)_transporter_wise
Source_var(t-1)_transporter_wise
Transporter
Target_var(t-10)_transporter_wise
Source Long
creationhour_var(t-2)_transporter_wise
Vehicle Type
distance
creationhour_var(t-3)_transporter_wise
Source_var(t-2)_transporter_wise
creationday_var(t-10)_transporter_wise
Source_var(t-3)_transporter_wise
creationday_var(t-1)_transporter_wise
Vehicle Type_var(t-1)_transporter_wise
creationday_var(t-9)_transporter_wise
Vehicle Type_var(t-7)_transporter_wise
