variables
Vehicle Type
Customer
contract_type
Transporter
Destination
Indent Type
Source
holi
Gross Weight
Transit Time
distance
Source Lat
Source Long
Dest Lat
Dest Long
Placement_Status
OnTimeStatus
Total_Indent_Count
Count_by_route
vehicle_count
Target_var(t-10)
Target_var(t-9)
Target_var(t-8)
Target_var(t-7)
Target_var(t-6)
Target_var(t-5)
Target_var(t-4)
Target_var(t-3)
Target_var(t-2)
Target_var(t-1)
Source_var(t-10)_transporter_wise
Destination_var(t-10)_transporter_wise
Vehicle Type_var(t-10)_transporter_wise
Target_var(t-10)_transporter_wise
sla_delay_charges_var(t-10)_transporter_wise
creationmonth_var(t-10)_transporter_wise
creationyear_var(t-10)_transporter_wise
creationweekday_var(t-10)_transporter_wise
creationhour_var(t-10)_transporter_wise
creationday_var(t-10)_transporter_wise
Placement_Status_var(t-10)_transporter_wise
OnTimeStatus_var(t-10)_transporter_wise
Deliverymonth_var(t-10)_transporter_wise
Deliveryyear_var(t-10)_transporter_wise
Deliveryweekday_var(t-10)_transporter_wise
Deliveryhour_var(t-10)_transporter_wise
Deliveryday_var(t-10)_transporter_wise
Dispatchedmonth_var(t-10)_transporter_wise
Dispatchedyear_var(t-10)_transporter_wise
Dispatchedweekday_var(t-10)_transporter_wise
Dispatchedhour_var(t-10)_transporter_wise
Dispatchedday_var(t-10)_transporter_wise
Source_var(t-9)_transporter_wise
Destination_var(t-9)_transporter_wise
Vehicle Type_var(t-9)_transporter_wise
Target_var(t-9)_transporter_wise
sla_delay_charges_var(t-9)_transporter_wise
creationmonth_var(t-9)_transporter_wise
creationyear_var(t-9)_transporter_wise
creationweekday_var(t-9)_transporter_wise
creationhour_var(t-9)_transporter_wise
creationday_var(t-9)_transporter_wise
Placement_Status_var(t-9)_transporter_wise
OnTimeStatus_var(t-9)_transporter_wise
Deliverymonth_var(t-9)_transporter_wise
Deliveryyear_var(t-9)_transporter_wise
Deliveryweekday_var(t-9)_transporter_wise
Deliveryhour_var(t-9)_transporter_wise
Deliveryday_var(t-9)_transporter_wise
Dispatchedmonth_var(t-9)_transporter_wise
