Lab_variables
Gross Weight
Customer
distance
Target_var(t-2)_transporter_wise
Transit Time
Target_var(t-1)_transporter_wise
Target_var(t-5)_transporter_wise
Target_var(t-4)_transporter_wise
Transporter
Target_var(t-8)_transporter_wise
Target_var(t-10)_transporter_wise
Target_var(t-7)_transporter_wise
Target_var(t-3)_transporter_wise
Source Lat
Source
Target_var(t-6)_transporter_wise
Total_Indent_Count
Target_var(t-9)_transporter_wise
Vehicle Type
Dispatchedhour_var(t-2)_transporter_wise
Vehicle Type_var(t-1)_transporter_wise
Deliveryhour_var(t-8)_transporter_wise
vehicle_count
creationhour_var(t-7)_transporter_wise
Target_var(t-1)
creationhour_var(t-1)_transporter_wise
Dest Lat
Count_by_route
Deliveryhour_var(t-2)_transporter_wise
Deliveryhour_var(t-6)_transporter_wise
Dest Long
Deliveryhour_var(t-7)_transporter_wise
creationhour_var(t-2)_transporter_wise
Deliveryhour_var(t-10)_transporter_wise
creationhour_var(t-8)_transporter_wise
Deliveryhour_var(t-5)_transporter_wise
Deliveryhour_var(t-4)_transporter_wise
Vehicle Type_var(t-4)_transporter_wise
Vehicle Type_var(t-9)_transporter_wise
Dispatchedhour_var(t-8)_transporter_wise
Source Long
creationhour_var(t-5)_transporter_wise
Deliveryhour_var(t-9)_transporter_wise
Vehicle Type_var(t-3)_transporter_wise
creationhour_var(t-10)_transporter_wise
Dispatchedhour_var(t-3)_transporter_wise
Vehicle Type_var(t-7)_transporter_wise
Dispatchedhour_var(t-10)_transporter_wise
creationhour_var(t-3)_transporter_wise
Destination
